username,email,location,company,created_at,updated_at,followers_count,following_count,public_repos_count,starred_repos_count
user00397,PXtTVHpj,Barcelona,,2013-09-15T21:05:38Z,2024-04-30T19:52:24Z,13,2,7,9
user00294,iQUVVjhd,Barcelona,,2019-11-05T10:36:31Z,2024-04-23T15:04:05Z,25,1,23,5
user00063,iQUVVjhd,,@latitude-dev ,2023-04-11T08:25:32Z,2024-03-12T09:58:26Z,0,2,0,0
user00171,iQUVVjhd,"Barcelona, Spain",Codegram,2009-08-04T10:33:51Z,2024-04-07T08:21:44Z,123,38,63,70
user00130,iQUVVjhd,Barcelona,Factorial,2010-02-05T15:40:22Z,2024-03-05T14:13:20Z,54,32,31,37
user00040,YA3oxrrr,"Barcelona, Spain",,2009-10-06T21:04:51Z,2024-04-09T11:18:32Z,146,73,130,291
user00124,iQUVVjhd,,,2022-10-04T08:27:39Z,2024-03-22T10:34:13Z,0,0,1,0
user00278,iQUVVjhd,"Barcelona, Spain",,2013-01-18T08:50:30Z,2024-04-27T06:36:28Z,64,100,113,1241
user00334,iQUVVjhd,Barcelona,,2009-01-26T23:52:07Z,2024-04-12T16:44:40Z,47,26,168,214
user00283,iQUVVjhd,"Madrid, Spain",Graphext,2010-03-25T14:31:42Z,2024-04-11T09:51:41Z,135,510,18,662
user00305,iQUVVjhd,,,2011-09-08T16:04:32Z,2024-04-16T13:45:31Z,33,36,65,20
user00400,iQUVVjhd,,,2022-10-04T15:12:52Z,2024-03-19T16:48:44Z,0,0,0,1
user00189,qslf3GmR,"Barcelona, Spain",,2016-10-07T12:48:52Z,2024-04-23T11:18:17Z,24,35,13,41
user00144,iQUVVjhd,"Madrid, Spain",,2016-10-01T11:44:41Z,2024-04-02T18:34:52Z,23,62,33,47
user00078,fnh6JZUu,Barcelona,,2013-04-22T14:03:25Z,2024-04-20T20:00:55Z,109,458,100,1903
user00191,ZsNuCJeL,"Berlin, Germany",@factorialco ,2014-10-07T22:32:29Z,2024-04-12T17:12:13Z,83,151,35,375
user00439,vEGQpMaX,"Barcelona, Spain",@factorialco,2013-12-20T08:24:40Z,2024-03-31T13:49:16Z,13,9,52,62
user00137,uM883bJo,"New York, NY",,2014-10-15T01:52:20Z,2024-04-12T11:46:32Z,110,9,52,145
user00419,GzsHYnGm,Barcelona,Pullpo.io,2018-11-08T20:44:53Z,2024-04-28T11:53:49Z,16,38,26,19
user00134,iQUVVjhd,,,2019-05-20T12:45:29Z,2024-04-14T16:15:03Z,4,9,7,13
user00452,g3gEehGt,Barcelona,@swipoo,2014-10-17T23:03:36Z,2024-04-11T19:21:33Z,150,311,77,693
user00202,GWghEL7E,Barcelona,@factorialco,2011-08-29T15:16:40Z,2024-04-01T18:35:37Z,8,58,5,57
user00180,LhNB2OwA,"Valencia, Spain",Clicars,2018-03-18T13:45:25Z,2024-04-08T16:39:47Z,7,50,12,59
user00387,ZfQeIwmN,"Barcelona, Catalonia",,2013-10-16T09:51:23Z,2024-04-09T09:52:12Z,60,73,31,1551
user00113,iQUVVjhd,"Morocco, Marrakesh",,2021-06-07T17:57:46Z,2024-04-24T19:09:57Z,59,86,39,119
user00170,iQUVVjhd,BCN,,2014-08-04T18:14:07Z,2024-03-28T05:33:06Z,12,24,13,11
user00267,iQUVVjhd,"Barcelona, Spain",,2011-05-27T07:19:30Z,2024-04-30T11:07:35Z,21,176,46,79
user00043,iQUVVjhd,"Barcelona, Spain",,2014-08-01T18:56:52Z,2024-04-25T04:29:55Z,14,13,55,109
user00472,iQUVVjhd,Milan,@appquality,2011-05-12T14:46:44Z,2024-04-18T07:43:22Z,27,18,16,51
user00383,iQUVVjhd,,,2017-11-25T21:36:49Z,2024-04-27T01:38:31Z,2,9,1,105
user00083,iQUVVjhd,,,2012-01-23T08:53:10Z,2024-04-15T13:55:43Z,13,2,29,0
user00375,iQUVVjhd,,,2019-07-29T15:45:01Z,2024-03-13T15:19:07Z,1,4,2,19
user00446,iQUVVjhd,,,2022-08-18T03:11:22Z,2023-02-12T17:05:06Z,0,4,4,17
user00120,iQUVVjhd,,,2018-12-02T13:49:44Z,2024-04-02T15:36:12Z,4,7,14,519
user00341,iQUVVjhd,"Barcelona, Spain",,2016-03-16T09:38:14Z,2024-01-26T14:41:09Z,9,11,21,10
user00277,iQUVVjhd,,,2020-03-24T16:47:33Z,2024-02-26T15:39:23Z,0,30,2,5
user00048,iQUVVjhd,"Tarragona, Spain",,2011-02-06T20:07:43Z,2024-04-22T09:51:45Z,47,98,105,133
user00456,iQUVVjhd,"Catalunya, Spain",Haufe Group,2012-11-23T20:22:29Z,2024-04-07T04:08:11Z,30,31,29,120
user00252,iQUVVjhd,Barcelona,@pitch-io ,2015-06-23T18:15:09Z,2024-04-18T13:02:58Z,23,140,3,411
user00469,iQUVVjhd,,Technetium,2019-04-04T18:17:38Z,2024-01-08T11:01:53Z,2,4,1,28
user00138,PacM9LuQ,Barcelona,,2010-12-19T22:01:03Z,2024-03-16T12:20:53Z,58,92,76,205
user00382,JczHV6Pd,Barcelona,,2015-11-21T10:55:42Z,2024-04-15T11:37:43Z,18,14,50,135
user00114,iQUVVjhd,,,2022-09-15T09:35:10Z,2024-03-12T17:30:47Z,0,5,1,11
user00298,lEbDWwxu,Barcelona,Uzum Market ,2014-05-04T18:41:37Z,2024-04-08T20:15:52Z,63,64,79,787
user00148,iQUVVjhd,,,2012-11-12T06:25:56Z,2024-03-09T21:55:08Z,3,5,20,203
user00290,iQUVVjhd,,,2013-09-22T02:29:10Z,2024-04-14T23:53:51Z,0,0,1,0
user00236,iQUVVjhd,,,2022-07-24T16:47:52Z,2024-03-14T10:51:50Z,0,2,2,14
user00023,iQUVVjhd,"Buffalo, NY",Imperative NY,2020-12-01T20:31:47Z,2024-04-17T19:55:55Z,2,7,17,185
user00167,iQUVVjhd,,,2014-06-14T08:14:39Z,2024-04-12T16:01:46Z,5,19,22,46
user00326,iQUVVjhd,,,2023-12-04T09:04:09Z,2024-02-19T10:19:44Z,0,0,1,0
user00247,iQUVVjhd,,,2017-09-22T18:23:55Z,2024-01-23T08:20:36Z,2,6,0,4
user00403,iQUVVjhd,Barcelona,,2021-02-16T09:01:05Z,2024-04-14T07:54:06Z,0,0,5,0
user00075,iQUVVjhd,Madrid,Barkibu,2021-10-04T08:38:58Z,2023-10-20T07:03:43Z,1,1,6,6
user00218,iQUVVjhd,,,2019-09-23T13:27:42Z,2023-03-29T09:12:00Z,2,1,17,0
user00061,iQUVVjhd,,,2019-02-15T19:34:05Z,2024-04-04T11:38:03Z,1,2,17,0
user00021,wmVGDZTw,Zaragoza,@Mushdesk ,2011-05-13T22:49:12Z,2024-03-11T09:23:32Z,41,84,53,368
user00445,gdsZNoh1,"Newcastle, Australia",,2012-05-22T00:53:09Z,2024-04-14T02:27:09Z,3,7,16,69
user00468,PMceu170,Portugal,Promptly Health Analytics,2010-01-17T11:55:28Z,2023-11-30T10:06:04Z,22,51,38,607
user00069,iQUVVjhd,,,2023-04-10T23:24:12Z,2024-03-06T00:09:07Z,0,0,0,3
user00203,iQUVVjhd,,,2011-08-30T10:14:35Z,2024-04-24T15:09:53Z,141,20,50,3693
